"Species","Tissue Class","Tissue Type","Cancer","Cell name","Cell marker","Source","Supports","Detail"
"Mouse","Brain","Brain","Normal cell","Long-projecting GABAergic cell","Arhgef15","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Arhgef17","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Bergmann glial cell","Arhgef26","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Arhgef28","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IA spiral ganglion neuron","Arhgef3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Bergmann glial cell","Arhgef4","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Arhgef6","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Arhgef9","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Long-projecting GABAergic cell","Arl4a","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Arl4c","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Arl6ip4","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Arl8a","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Armc1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Ependymal cell","Armc3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","Arnt2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Arnt2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Arpc5","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","Arpp21","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Microglial cell","Arsb","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Asah2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IA spiral ganglion neuron","Asap2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Asap3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Asb1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Asb13","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Asb8","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Progenitor cell","Ascl1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Ascl2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Asl","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","O cell","Aspa","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Oligodendrocyte","Aspa","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Asphd2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Mural cell","Aspn","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Long-projecting GABAergic cell","Ass1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Ass1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Astn2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Atf4","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Atf6b","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Atg101","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Atg16l1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Atg16l2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Atg2b","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Atg4d","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Atm","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Atp10d","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","Atp11a","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Atp13a2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Astrocyte","Atp13a4","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Smooth muscle cell","Atp13a5","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Olfactory ensheathing glia","Atp1a2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Quiescent neural stem cell","Atp1a2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Smooth muscle cell","Atp1a2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Neuron","Atp1a3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Neuron","Atp1b1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Astrocyte","Atp1b2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Atp2b3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Martinotti cell","Atp2b4","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Atp2b4","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Atp5sl","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Atp6v1g2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Atp8b2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Atxn1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Atxn2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Atxn7l3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","AU019823","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","AU022252","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Auh","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Auts2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Avpi1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Azi2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Azin1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","B230216N24Rik","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Long-projecting GABAergic cell","B2m","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Cajal-Retzius cell","B3galt1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","B3galt1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","B3galt2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","B3gat1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IA spiral ganglion neuron","B3gat1","Single-cell sequencing","2","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","B3gnt2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","B4galnt1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","B4galt4","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","B4galt6","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","B4galt7","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","B930041F14Rik","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","B9d2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Baalc","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Long-projecting GABAergic cell","Bace2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IA spiral ganglion neuron","Bag3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Martinotti cell","Bai1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Macrophage","Bank1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Cajal-Retzius cell","Bbx","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","BC030500","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","BC048546","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IB spiral ganglion neuron","Bcam","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Astrocyte","Bcan","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Bcan","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Interneuron-selective cell","Bcar3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Olfactory ensheathing glia","Bcar3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Bcar3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Oligodendrocyte precursor cell","Bcas1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Bcat1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Bckdhb","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Bean1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Bend6","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Best3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Bex1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Neuron","Bex2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Bex4","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Bfar","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Mural cell","Bgn","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Bgn","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","Bhlhe22","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Bhlhe40","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Cajal-Retzius cell","Bin1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Bin1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Neural stem cell","Blbp","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Microglial cell","Bmp2k","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Dorsal otocyst","Bmp4","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Olfactory ensheathing glia","Bmp7","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Bmp7","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Bmpr1a","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Bergmann glial cell","Bmpr1b","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Olfactory ensheathing glia","Bnc2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","Boc","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Bola3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Borcs6","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Oligodendrocyte precursor cell","Brinp1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Oligodendrocyte precursor cell","Brinp3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Brms1l","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Brsk1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Brsk2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IB spiral ganglion neuron","Btbd9","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Neuroblast","Btg1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Btg1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IA spiral ganglion neuron","Bves","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Microglial cell","C1qa","Single-cell sequencing","2","DETAIL"
"Mouse","Brain","Brain","Normal cell","Microglial cell","C1qb","Single-cell sequencing","2","DETAIL"
"Mouse","Brain","Brain","Normal cell","Microglial cell","C1qc","Single-cell sequencing","2","DETAIL"
"Mouse","Brain","Brain","Normal cell","Oligodendrocyte precursor cell","C1ql1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","C530008M17Rik","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","C920025E04Rik","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Cabin1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Cables2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Cabp1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IA spiral ganglion neuron","Cachd1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Cachd1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IA spiral ganglion neuron","Cacna1b","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","Cacna1e","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Cacna1e","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IA spiral ganglion neuron","Cacna1h","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Cajal-Retzius cell","Cacna2d1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IA spiral ganglion neuron","Cacna2d1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Cacna2d1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Cajal-Retzius cell","Cacna2d2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IA spiral ganglion neuron","Cacna2d2","Single-cell sequencing","1","DETAIL"
